candidate_id,label,current_title,years_of_experience,top_skills,career_history,summary
CAND_0072791,,Full Stack Developer,3.5,scikit-learn,Full Stack Developer @ Globex Inc (42m),"Software engineer with 3.5 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. Most of my work is conventional backend engineering — APIs, databases, queues, deployments. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0029667,,Mobile Developer,9.5,"Kubeflow, TTS, RAG",Mobile Developer @ Infosys (32m) | Frontend Engineer @ Accenture (26m) | Mobile Developer @ Accenture (39m),"Software engineer with 9.5 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've spent most of my career on web and API development — Python/Django and Node.js mostly. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0007499,,Content Writer,4.6,"Vector Search, RAG, Pinecone, Sentence Transformers, LangChain, FAISS, Prompt Engineering, Semantic Search",Content Writer @ Wipro (49m) | Civil Engineer @ Hooli (6m),"Content Writer with 4.6+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities."
CAND_0031160,,HR Manager,8.1,BentoML,HR Manager @ Dunder Mifflin (40m) | Content Writer @ Dunder Mifflin (36m) | Graphic Designer @ Dunder Mifflin (20m),"Professional with 8.1+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0089679,,Project Manager,11.1,TTS,Project Manager @ Infosys (16m) | Accountant @ Stark Industries (36m) | Business Analyst @ Dunder Mifflin (45m),"Professional with 11.1+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0026506,,Project Manager,14.9,,Project Manager @ Infosys (26m) | Mechanical Engineer @ Dunder Mifflin (50m) | Mechanical Engineer @ Globex Inc (44m),"Professional with 14.9+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0065710,,Marketing Manager,4.4,,Marketing Manager @ Hooli (100m) | Marketing Manager @ Globex Inc (14m),"Professional with 4.4+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0036299,,Mobile Developer,12.2,,Mobile Developer @ Cognizant (8m),"Software engineer with 6.0 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0019816,,Mechanical Engineer,1.7,Computer Vision,Mechanical Engineer @ Initech (20m),"Professional with 1.7+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0088975,,Operations Manager,12.9,,Operations Manager @ Hooli (52m) | Civil Engineer @ Wayne Enterprises (51m) | Content Writer @ Initech (44m),"Professional with 12.9+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0031816,,Software Engineer,8.0,Diffusion Models,Software Engineer @ Cognizant (43m) | Full Stack Developer @ HCL (13m) | DevOps Engineer @ Globex Inc (39m),"Software engineer with 8.0 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0016724,,Marketing Manager,1.6,,Marketing Manager @ Stark Industries (19m),"Professional with 1.6+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0044625,,Project Manager,9.6,,Project Manager @ Infosys (21m) | Project Manager @ Globex Inc (51m) | Content Writer @ Initech (42m),"Professional with 9.6+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0071636,,Mechanical Engineer,14.3,TTS,Mechanical Engineer @ Stark Industries (32m) | Customer Support @ Hooli (26m) | HR Manager @ Stark Industries (39m),"Professional with 14.3+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0009492,,Customer Support,7.5,,Customer Support @ Pied Piper (32m) | Customer Support @ TCS (31m) | Mechanical Engineer @ Hooli (26m),"Professional with 7.5+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0048740,,HR Manager,9.9,"gRPC, Angular, Content Writing",HR Manager @ Dunder Mifflin (52m) | Graphic Designer @ Hooli (27m) | Accountant @ Dunder Mifflin (38m),"Professional with 9.9+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0041751,,Marketing Manager,9.4,OpenCV,Marketing Manager @ Dunder Mifflin (21m) | Operations Manager @ TCS (52m) | Marketing Manager @ TCS (38m),"Professional with 9.4+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0040868,,Marketing Manager,12.8,,Marketing Manager @ Globex Inc (33m) | Sales Executive @ Wipro (39m) | Business Analyst @ Wayne Enterprises (21m),"Professional with 12.8+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0064922,,Project Manager,8.1,,Project Manager @ Dunder Mifflin (45m) | Content Writer @ TCS (13m) | HR Manager @ TCS (15m),"Professional with 8.1+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0013293,,Operations Manager,3.6,,Operations Manager @ Initech (21m) | Graphic Designer @ Hooli (21m),"Professional with 3.6+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0065096,,Civil Engineer,6.7,"ETL, Tally, Flask, Rust",Civil Engineer @ TCS (18m) | Business Analyst @ Globex Inc (49m) | Civil Engineer @ Dunder Mifflin (13m),"Professional with 6.7+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0001147,,Sales Executive,11.8,"Recommendation Systems, Prompt Engineering, Information Retrieval, Embeddings, FAISS, RAG, Semantic Search, LangChain",Sales Executive @ Hooli (14m) | Civil Engineer @ Stark Industries (48m) | Operations Manager @ Hooli (26m),"Sales Executive with 11.8+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities."
CAND_0004883,,Business Analyst,2.7,"Pinecone, LLMs, Recommendation Systems, Fine-tuning LLMs, RAG, Hugging Face Transformers, Vector Search",Business Analyst @ Wayne Enterprises (32m),"Business Analyst with 2.7+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities."
CAND_0073106,,Operations Manager,6.4,,Operations Manager @ Globex Inc (12m) | HR Manager @ Infosys (44m) | Content Writer @ Globex Inc (20m),"Professional with 6.4+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0056212,,Java Developer,5.0,"OpenCV, Forecasting",Java Developer @ Mphasis (25m) | Java Developer @ Initech (34m),"Software engineer with 5.0 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0076863,,Operations Manager,10.4,,Operations Manager @ Acme Corp (46m) | Sales Executive @ Wipro (14m) | Content Writer @ Infosys (28m),"Professional with 10.4+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0005248,,Civil Engineer,10.6,"Time Series, LLMs, Vector Search, Information Retrieval, FAISS, Pinecone, RAG, Recommendation Systems",Civil Engineer @ Acme Corp (49m) | Operations Manager @ Wipro (39m) | Sales Executive @ Wayne Enterprises (26m),"Civil Engineer with 10.6+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities."
CAND_0092599,,QA Engineer,5.6,"Data Science, ASR",QA Engineer @ Mphasis (14m) | Cloud Engineer @ Pied Piper (43m) | Cloud Engineer @ Acme Corp (9m),"Software engineer with 5.6 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0095311,,Civil Engineer,4.6,,Civil Engineer @ Infosys (40m) | Content Writer @ Acme Corp (14m),"Professional with 4.6+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0003183,,Operations Manager,12.6,"Sentence Transformers, Prompt Engineering, LangChain, Hugging Face Transformers, FAISS, Information Retrieval, Recommendation Systems",Operations Manager @ Pied Piper (51m) | Sales Executive @ Wipro (52m) | Marketing Manager @ Pied Piper (27m),"Operations Manager with 12.6+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities."
CAND_0073672,,Civil Engineer,4.9,,Civil Engineer @ Initech (32m) | Sales Executive @ Globex Inc (26m),"Professional with 4.9+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0088222,,Graphic Designer,12.8,Weights & Biases,Graphic Designer @ Hooli (22m) | Content Writer @ Wipro (15m) | Customer Support @ Initech (34m),"Professional with 12.8+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0081371,,Civil Engineer,11.5,"Recommendation Systems, LangChain, Fine-tuning LLMs, Information Retrieval, Semantic Search, RAG, Pinecone, Hugging Face Transformers",Civil Engineer @ Infosys (37m) | HR Manager @ Initech (21m) | Accountant @ TCS (37m),"Civil Engineer with 11.5+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities."
CAND_0009739,,Accountant,1.0,,Accountant @ Wipro (12m),"Professional with 1.0+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0090786,,Content Writer,9.2,,Content Writer @ Stark Industries (28m) | Marketing Manager @ Initech (51m) | Mechanical Engineer @ Pied Piper (29m),"Professional with 9.2+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0093147,,Content Writer,9.9,,Content Writer @ TCS (38m) | Accountant @ Pied Piper (43m) | Project Manager @ Dunder Mifflin (37m),"Professional with 9.9+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0036984,,Cloud Engineer,2.4,Object Detection,Cloud Engineer @ Pied Piper (13m) | Full Stack Developer @ Swiggy (15m),"Software engineer with 2.4 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've spent most of my career on web and API development — Python/Django and Node.js mostly. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0022107,,Full Stack Developer,4.9,LangChain,Full Stack Developer @ Hooli (37m) | Cloud Engineer @ Globex Inc (15m) | QA Engineer @ Accenture (6m),"Software engineer with 4.9 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've spent most of my career on web and API development — Python/Django and Node.js mostly. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0079143,,HR Manager,3.0,,HR Manager @ TCS (28m) | Civil Engineer @ Hooli (7m),"Professional with 3.0+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0093364,,Business Analyst,7.9,,Business Analyst @ Globex Inc (142m) | Accountant @ Hooli (13m) | Mechanical Engineer @ Initech (49m),"Professional with 7.9+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0036942,,Operations Manager,1.9,"Prompt Engineering, Information Retrieval, LLMs, LangChain, Recommendation Systems",Operations Manager @ Pied Piper (22m),"Operations Manager with 1.9+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities."
CAND_0091399,,Java Developer,9.3,FAISS,Java Developer @ Dunder Mifflin (54m) | Frontend Engineer @ Initech (33m) | Mobile Developer @ Infosys (24m),"Software engineer with 9.3 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
CAND_0005147,,Mechanical Engineer,8.5,"Semantic Search, Sentence Transformers, Information Retrieval, Pinecone, Recommendation Systems, Embeddings",Mechanical Engineer @ Initech (30m) | Sales Executive @ Pied Piper (26m) | Business Analyst @ Wipro (45m),"Mechanical Engineer with 8.5+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities."
CAND_0078267,,Graphic Designer,13.5,,Graphic Designer @ Globex Inc (16m) | Graphic Designer @ Infosys (52m) | Content Writer @ Acme Corp (31m),"Professional with 13.5+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0035281,,Graphic Designer,3.8,,Graphic Designer @ Dunder Mifflin (45m),"Professional with 3.8+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities."
CAND_0005558,,Backend Engineer,7.6,"Time Series, Computer Vision, Elasticsearch, Machine Learning, Speech Recognition",Backend Engineer @ Pied Piper (39m) | Data Engineer @ Wayne Enterprises (14m) | Senior Software Engineer @ PolicyBazaar (37m),"Software / data professional with 7.6 years of experience building data pipelines, backend systems, and analytics infrastructure. I'm a backend/data hybrid — Spark, Airflow, SQL warehouses are home territory; I'm building competence on the ML side. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice."
CAND_0074971,,Java Developer,1.6,,Java Developer @ Wipro (19m),"Software engineer with 1.6 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. Most of my work is conventional backend engineering — APIs, databases, queues, deployments. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems."
