candidate_id,label,current_title,years_of_experience,top_skills,career_history,summary,category
CAND_0045990,0.15,Business Analyst,4.6,,Business Analyst @ Stark Industries (16m) | Sales Executive @ Initech (26m) | Operations Manager @ Pied Piper (11m),"Professional with 4.6+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_no_ml
CAND_0025579,0.0,HR Manager,12.9,,HR Manager @ Acme Corp (12m),"Professional with 14.6+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",honeypot: career_yoe_mismatch(ratio=0.08)
CAND_0098470,1.812,Backend Engineer,3.6,"LLMs, Semantic Search, MLOps, MLflow, Kubeflow",Backend Engineer @ HCL (21m) | Software Engineer @ Razorpay (21m),"Software / data professional with 3.6 years of experience building data pipelines, backend systems, and analytics infrastructure. I've been the engineer who makes ML possible by getting the data pipelines right; now I want to do more of the ML itself. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.",normal
CAND_0051194,0.429,Data Analyst,6.6,"YOLO, Feature Engineering, BM25",Data Analyst @ Pied Piper (43m) | Software Engineer @ TCS (35m),"Software / data professional with 6.6 years of experience building data pipelines, backend systems, and analytics infrastructure. Started my career in backend engineering and gradually moved closer to data — first dashboards, then ETL, now some basic ML. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.",irrelevant_title
CAND_0025244,0.398,.NET Developer,4.6,Milvus,.NET Developer @ Acme Corp (28m) | Frontend Engineer @ Capgemini (26m),"Software engineer with 4.6 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and cloud deployments; comfortable in most parts of a typical SaaS stack. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.",irrelevant_title
CAND_0038350,0.737,Full Stack Developer,9.4,"Reinforcement Learning, Speech Recognition",Full Stack Developer @ Capgemini (43m) | .NET Developer @ Flipkart (24m) | Cloud Engineer @ Globex Inc (25m),"Software engineer with 9.4 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've spent most of my career on web and API development — Python/Django and Node.js mostly. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.",title_chaser
CAND_0065180,0.695,Business Analyst,4.8,"Recommendation Systems, Semantic Search, FAISS, Vector Search, Hugging Face Transformers",Business Analyst @ Wayne Enterprises (22m) | Business Analyst @ Pied Piper (12m) | Sales Executive @ Acme Corp (22m),"Business Analyst with 4.8+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.",irrelevant_title
CAND_0086236,0.15,Mechanical Engineer,6.1,Forecasting,Mechanical Engineer @ Stark Industries (12m) | Project Manager @ TCS (54m) | Content Writer @ Hooli (7m),"Professional with 6.1+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_no_ml
CAND_0051957,0.375,Customer Support,13.0,"Speech Recognition, LLMs, Fine-tuning LLMs, Vector Search, FAISS, Sentence Transformers, Pinecone",Customer Support @ Pied Piper (51m) | Graphic Designer @ Hooli (36m) | Customer Support @ Dunder Mifflin (25m),"Customer Support with 13.0+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.",inactive
CAND_0003430,0.0,Business Analyst,13.7,,Business Analyst @ Infosys (11m),"Professional with 1.3+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",honeypot: career_yoe_mismatch(ratio=0.07)
CAND_0036339,1.193,Software Engineer,7.9,"OpenCV, Object Detection",Software Engineer @ Zomato (15m) | .NET Developer @ Pied Piper (49m) | Mobile Developer @ Cognizant (30m),"Software engineer with 7.9 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and cloud deployments; comfortable in most parts of a typical SaaS stack. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.",normal
CAND_0095623,0.783,Software Engineer,8.7,"Feature Engineering, Weights & Biases, Prompt Engineering",Software Engineer @ Flipkart (30m) | QA Engineer @ Cognizant (13m) | Mobile Developer @ Wipro (39m),"Software engineer with 8.7 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and cloud deployments; comfortable in most parts of a typical SaaS stack. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.",inactive
CAND_0028192,0.15,Operations Manager,2.6,,Operations Manager @ Dunder Mifflin (31m),"Professional with 2.6+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_no_ml
CAND_0088672,0.847,Software Engineer,7.9,Forecasting,Software Engineer @ Flipkart (49m) | QA Engineer @ Dunder Mifflin (33m) | Mobile Developer @ TCS (12m),"Software engineer with 7.9 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.",inactive
CAND_0066405,0.0,Cloud Engineer,12.3,"MLOps, Information Retrieval",Cloud Engineer @ Initech (13m),"Software engineer with 2.6 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.",honeypot: career_yoe_mismatch(ratio=0.09)
CAND_0045890,0.15,Content Writer,12.6,,Content Writer @ Initech (33m) | HR Manager @ Stark Industries (43m) | HR Manager @ TCS (40m),"Professional with 12.6+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_no_ml
CAND_0006110,0.15,Project Manager,2.8,,Project Manager @ Globex Inc (33m),"Professional with 2.8+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_no_ml
CAND_0001508,0.621,Marketing Manager,9.2,"OpenCV, Hugging Face Transformers, Semantic Search, FAISS",Marketing Manager @ Initech (30m) | Accountant @ Initech (34m) | Content Writer @ Stark Industries (18m),"Marketing Manager with 9.2+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.",irrelevant_title
CAND_0087051,0.951,Software Engineer,1.4,"FAISS, GANs, Kubeflow",Software Engineer @ Zomato (16m),"Software engineer with 1.4 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.",normal
CAND_0012352,0.669,Content Writer,14.1,"RAG, Semantic Search, Hugging Face Transformers, Recommendation Systems, FAISS",Content Writer @ Stark Industries (13m) | HR Manager @ TCS (30m) | Content Writer @ Stark Industries (32m),"Content Writer with 14.1+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.",irrelevant_title
CAND_0052884,0.15,Frontend Engineer,5.3,CNN,Frontend Engineer @ Infosys (44m) | Full Stack Developer @ Mindtree (19m),"Software engineer with 5.3 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. My background is full-stack, but my comfort zone is the backend and the database. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.",consulting_only
CAND_0088662,0.15,Accountant,12.6,,Accountant @ Wayne Enterprises (37m) | Accountant @ Globex Inc (28m) | Project Manager @ Acme Corp (46m),"Professional with 12.6+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_no_ml
CAND_0090337,0.15,Operations Manager,7.2,TTS,Operations Manager @ Stark Industries (30m) | Business Analyst @ TCS (25m) | Operations Manager @ Pied Piper (24m),"Professional with 7.2+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_no_ml
CAND_0021055,0.387,Accountant,8.8,,Accountant @ TCS (40m) | Business Analyst @ Pied Piper (27m) | Mechanical Engineer @ TCS (28m),"Professional with 8.8+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_title
CAND_0028287,2.766,Data Scientist,5.7,"Image Classification, OpenSearch, Pinecone, NLP, GANs, YOLO, Python",Data Scientist @ Unacademy (43m) | Senior Software Engineer (ML) @ Meesho (25m),"Data scientist / ML engineer with 5.7 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split between dashboarding/analytics and shipping production ML models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I want to grow into senior AI engineering — get serious about LLMs and retrieval beyond the surface level.",normal
CAND_0071591,0.282,Mechanical Engineer,11.7,Forecasting,Mechanical Engineer @ Initech (30m) | Customer Support @ Initech (39m) | Operations Manager @ Hooli (46m),"Professional with 11.7+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_title
CAND_0062057,1.728,Software Engineer,6.7,,Software Engineer @ Tech Mahindra (26m) | .NET Developer @ Razorpay (43m) | Mobile Developer @ Cognizant (10m),"Software engineer with 6.7 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and cloud deployments; comfortable in most parts of a typical SaaS stack. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.",normal
CAND_0094358,2.454,ML Engineer,4.1,"Prompt Engineering, Deep Learning, Weights & Biases, BM25, Machine Learning, MLflow, Qdrant, Vector Search, BentoML",ML Engineer @ Saarthi.ai (37m) | AI Research Engineer @ BYJU'S (11m),"Data scientist / ML engineer with 4.1 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classification and information extraction pipelines. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. Looking for a role where I can step up to more end-to-end ownership of ML systems, not just modeling.",normal
CAND_0027260,1.714,Senior Software Engineer,5.6,"Image Classification, OpenSearch",Senior Software Engineer @ Vedantu (48m) | Software Engineer @ Ola (19m),"Software / data professional with 5.6 years of experience building data pipelines, backend systems, and analytics infrastructure. Started my career in backend engineering and gradually moved closer to data — first dashboards, then ETL, now some basic ML. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.",normal
CAND_0008517,3.0,AI Research Engineer,5.6,"Feature Engineering, LoRA, Recommendation Systems, PyTorch, OpenCV",AI Research Engineer @ Locobuzz (21m) | Data Scientist @ Dream11 (21m) | Junior ML Engineer @ Wipro (23m),"Data scientist / ML engineer with 5.6 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split between dashboarding/analytics and shipping production ML models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems.",normal
CAND_0057407,0.528,Java Developer,8.7,,Java Developer @ Swiggy (25m) | DevOps Engineer @ Razorpay (31m) | DevOps Engineer @ Capgemini (47m),"Software engineer with 8.7 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've spent most of my career on web and API development — Python/Django and Node.js mostly. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.",irrelevant_title
CAND_0053283,0.153,Operations Manager,10.5,,Operations Manager @ Hooli (54m) | Business Analyst @ Pied Piper (24m) | Sales Executive @ TCS (24m),"Professional with 10.5+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",inactive
CAND_0098399,0.183,QA Engineer,2.2,Diffusion Models,QA Engineer @ Globex Inc (26m),"Software engineer with 2.2 years of experience across web, backend, and cloud systems. Strong fundamentals in software development and system design. I've worked across web frontends, REST APIs, and cloud deployments; comfortable in most parts of a typical SaaS stack. I've been keeping up with AI/ML at a self-learner level — taken some online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project — but I haven't done it in a professional capacity yet. Open to roles where I can either deepen my software engineering work or, if the team is open to it, start contributing to ML-adjacent systems.",irrelevant_title
CAND_0068580,0.384,Graphic Designer,9.0,,Graphic Designer @ Wayne Enterprises (25m) | HR Manager @ Globex Inc (13m) | Accountant @ Infosys (22m),"Professional with 9.0+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_title
CAND_0031725,0.546,Data Analyst,7.3,"YOLO, LlamaIndex, Reinforcement Learning",Data Analyst @ Razorpay (19m) | Backend Engineer @ Globex Inc (26m) | Backend Engineer @ Dream11 (41m),"Software / data professional with 7.3 years of experience building data pipelines, backend systems, and analytics infrastructure. I've been the engineer who makes ML possible by getting the data pipelines right; now I want to do more of the ML itself. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.",irrelevant_title
CAND_0051877,0.343,Project Manager,10.8,Data Science,Project Manager @ Dunder Mifflin (22m) | Sales Executive @ Globex Inc (22m) | Accountant @ TCS (26m),"Professional with 10.8+ years of experience. I'm a marketing manager with substantial experience in cross-functional collaboration, stakeholder management, and execution. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_title
CAND_0017786,1.773,Senior Data Engineer,2.1,"Recommendation Systems, Prompt Engineering, OpenCV, Fine-tuning LLMs, Data Science, GANs, Feature Engineering",Senior Data Engineer @ Acme Corp (25m),"Software / data professional with 2.1 years of experience building data pipelines, backend systems, and analytics infrastructure. Started my career in backend engineering and gradually moved closer to data — first dashboards, then ETL, now some basic ML. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice.",normal
CAND_0005510,0.761,Marketing Manager,6.2,"FAISS, Fine-tuning LLMs, RAG, Recommendation Systems, Embeddings, Information Retrieval",Marketing Manager @ Pied Piper (45m) | Business Analyst @ Hooli (28m),"Marketing Manager with 6.2+ years of experience driving outcomes in my domain. I have built strong functional expertise in the typical responsibilities of the role, including team management, stakeholder communication, and project delivery. Recently I've been excited about how AI and GenAI tools can augment my work. I've been taking online courses on RAG and vector databases, experimenting with LangChain and the OpenAI API for side projects, and exploring how LLMs can streamline workflows in my current function. Open to roles that combine my existing domain experience with emerging AI technologies — I think the most interesting opportunities are at this intersection. Looking for positions where I can contribute both my functional expertise and grow my AI capabilities.",irrelevant_title
CAND_0058412,1.922,Senior Software Engineer (ML),6.6,"Embeddings, Speech Recognition, Object Detection, Milvus, Time Series",Senior Software Engineer (ML) @ InMobi (31m) | AI Specialist @ Nykaa (18m) | Junior ML Engineer @ BYJU'S (19m),"Data scientist / ML engineer with 6.6 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classification and information extraction pipelines. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems.",title_chaser
CAND_0041746,0.325,Sales Executive,4.7,,Sales Executive @ Infosys (32m) | Accountant @ Dunder Mifflin (16m) | Operations Manager @ Dunder Mifflin (7m),"Professional with 4.7+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities.",irrelevant_title
